cell_id,perpendicularity,sphericity,columnarity
962,0.7245673565620319,0.4931244917601619,0.36726544711137593
1013,0.46022359019488857,0.720843979858235,0.1284741858141597
1354,0.15747354067057084,0.6957750382038524,0.047907381894408504
1357,0.36145571551857625,0.6729672205023723,0.11820786731134378
1406,0.8490632603912253,0.6089042391982451,0.3320650417915248
1411,0.03306434926619772,0.4109466674550878,0.019476665123682693
1421,0.05641965574584318,0.5361229796139709,0.02617178179858724
1537,0.8414133316484524,0.7249998997059036,0.2313887505921142
1545,0.004176828625006568,0.3155917126123234,0.0028586561259525693
1672,0.3901473717329246,0.3940427957139398,0.23641261063483723
1753,0.30298852886435457,0.426545412756818,0.1737501617593274
1758,4.868489324416636e-05,0.4358039918353191,2.74678224262823e-05
1759,0.7357782961564676,0.4100132242258177,0.4340994646339758
1761,0.7465954947125691,0.6828236331728689,0.23680244650243726
1762,0.8305576314300143,0.3735647463283616,0.5202905805337762
1823,0.2533886026317679,0.6934596586952838,0.07767382873346723
1826,0.7633490897574622,0.5567398765870148,0.33836221173308256
1828,0.46766080367546103,0.7066616209369853,0.13718286210146652
1834,0.32347030509264574,0.8262056201158632,0.05621732108450891
1840,0.3509499519256327,0.6774827543485232,0.11318741185657324
1916,0.8355137195940694,0.6168113189805545,0.32015940018490224
1917,0.5576617710513602,0.5948320174812657,0.2259466947047039
1924,0.47523618228927655,0.6350890267214098,0.17341889781638142
1925,0.9114458037828578,0.3370671847492774,0.6042273326502275
1931,0.01473924799144033,0.6468632103069911,0.005204970718186367
1932,0.9329975551844893,0.5957809500233164,0.37713538538724267
1934,0.3695448168957809,0.5421583879842813,0.16919299467961793
1935,0.5836060367586227,0.4114138358941777,0.34350243852475926
1937,0.5358072914748189,0.7667189160391282,0.12499370574938451
2019,0.6116594387160574,0.6331860168742901,0.22436523503187308
2103,0.6923156230534822,0.8012655955566405,0.13758693303436717
2120,0.9498609558834284,0.4759187850174535,0.49780428382387015
2144,0.45898745141748354,0.6121526687673418,0.17801705810155039
2196,0.14654813541639788,0.8764206105526253,0.018110329099409635
2199,0.05920150228628884,0.4538114337414177,0.03233518365410229
2207,0.185177364419833,0.6725077571482477,0.06064415039922738
2212,0.7146268438640827,0.5540059559658571,0.31871931607029824
2214,0.9771997248976498,0.6594971979009164,0.3327392445381034
2216,0.46588690859906057,0.7519320703046061,0.11557160088835618
2220,0.8833478383976454,0.4000844804478559,0.5299340774175869
