,cell_id,angle,perpendicularity,sphericity,columnarity
332,5935,116.98666887062622,1.4537831750931178,-0.04831940709580951,122.63939534856867
333,5951,140.35115761684693,1.7699695841703549,-0.04729418334745428,146.98895099820555
334,5955,151.20731469687746,1.8763681762474795,-0.10437716530376195,166.98990557813138
335,6011,132.2490542494803,1.6723545889618097,-0.2775213386300144,168.95098881734947
336,6030,149.93815146853112,1.8654851690719247,-0.2278083412560159,184.09531304557046
337,6032,98.85622824314194,1.1539555781453095,-0.056028520452198194,104.39499644908999
338,6039,162.53477483692336,1.9538992840714458,-0.14819880108204808,186.62223360189603
339,6043,19.477163691355955,0.05722553879305692,-0.43683078033026934,27.985388305271364
340,6046,124.01365415368556,1.559390455482975,-0.2321314293798693,152.80112095500135
341,6048,36.769143500084944,0.19894614251339282,-0.06821734537242352,39.27743686127844
342,6056,147.1111123368909,1.839725195724882,-0.053866924731797994,155.03553555235328
343,6058,99.60518220855204,1.1668579260247476,-0.55496311553851,154.88238445079105
344,6067,107.58054366666313,1.3020461916222554,-0.3697385874068593,147.3572219144371
345,6071,57.77798236109338,0.46679858792521367,-0.4511937485422992,83.84704680580595
346,6074,167.47099898306553,1.976186328285992,-0.23509632266293767,206.84281499667281
347,6084,78.79545206904048,0.8056877847332341,-0.3284996386928909,104.67972960436327
348,6102,51.83303912828285,0.3820448651856062,-0.11474410567063931,57.780574847248914
349,6148,92.45574607935428,1.0428477329403607,-0.3133354504230288,121.42540892132594
350,6160,37.97439924332103,0.21171423674577416,-0.1270192209548855,42.79787785143746
351,6165,129.5514664657456,1.636771082512397,-0.2610492552062973,163.37078029751208
352,6166,117.50534941836375,1.4618314269564547,-0.727415469217249,202.9805583010596
353,6172,132.95470252231837,1.6814199459702224,-0.1265691728501619,149.78266924710755
354,6173,44.42088418569244,0.2857823935731948,-0.35569481778010736,60.22116249175356
355,6179,153.59609311290626,1.8956814393542354,-0.30120423687252673,199.85988712558074
356,6181,107.97350758769718,1.308577212015236,-0.1703964887900309,126.37181416298455
