image,Prediction v. GT Intersection over Union,false positive,true positive,false negative,precision,recall,accuracy,f1 score,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
1.tif,0.6752680965147453,1,6,4,0.8571428571428571,0.6,0.5454545454545454,0.7058823529411765,10,7,0.4085682280518184,0.6809470467530306,0.4806685035903746
2.tif,0.7269704945283281,0,8,4,1.0,0.6666666666666666,0.6666666666666666,0.8,12,8,0.48832171113718736,0.732482566705781,0.5859860533646248
3.tif,0.6735686274509803,5,17,2,0.7727272727272727,0.8947368421052632,0.7083333333333334,0.8292682926829268,19,22,0.650756146501346,0.727315693148563,0.6031398430988084
4.tif,0.5913535163152315,8,14,15,0.6363636363636364,0.4827586206896552,0.3783783783783784,0.5490196078431373,29,22,0.29484663873649886,0.6107537516684619,0.3353157852297438
