cell,sphericities,lines,volumes
0,0.7682089661473268,0.0,5857
1,0.6857828179701119,0.0,3112
2,0.9055378406273008,0.0,2750
3,0.5701696831293528,0.0,12027
4,0.7525153725145824,0.0,2604
5,0.6659998698523019,0.0,4174
6,0.6569385837404766,0.0,5636
7,0.7113871086136342,0.0,3372
8,0.7503510326833603,0.0,2119
9,0.8686445157066622,0.0,1274
10,0.7507622864291913,0.0,1505
11,0.6793250969698613,0.0,1277
12,0.9990361263046856,0.0,855
13,0.7178210159480651,0.0,4339
14,0.7422430913656342,0.0,4047
15,0.7623028166990573,0.0,4447
16,0.9300379656768704,0.0,1672
17,0.7353781628233819,0.0,4310
18,0.8229865151522406,0.0,2218
19,0.8152236655856945,0.0,1792
20,0.8817980507002153,0.0,2020
21,0.7210042307388083,0.0,1154
22,0.7502459724587156,0.0,3477
23,0.7444636620433892,4.0,4578
24,0.805536142208296,0.0,2794
25,0.6154431516814325,0.0,8187
26,0.5930212837841521,0.0,11614
27,0.7694695544628956,0.0,2888
28,0.87950412128772,0.0,3754
29,0.5546477282221565,0.0,3935
30,0.8276457618821493,0.0,2912
31,0.925293501026094,0.0,1384
32,0.8593193839026624,0.0,1206
33,0.7429422117025162,0.0,3621
34,0.787834510481389,0.0,2343
35,0.70177494261773,0.0,5042
36,0.7352930110328749,0.0,2545
37,0.6998887019399839,0.0,7264
38,0.874563710738124,0.0,2723
39,0.7497272030333735,0.0,7450
40,0.5396884698555824,0.0,5708
41,0.8583964036969549,0.0,683
42,0.986192226680458,0.0,1274
43,0.8775603303387103,0.0,517
44,1.0853372387016704,0.0,961
45,0.8278834508541043,0.0,3813
46,0.8144417502500031,0.0,5510
47,0.6745550369342233,0.0,3818
48,1.0063304860621127,0.0,834
49,0.7823750339279951,0.0,4568
50,0.9019869468292514,0.0,618
51,0.8302708919727404,0.0,493
52,0.8618227536252179,0.0,1344
53,0.7566504839688498,0.0,2295
54,0.7509482236928029,0.0,8445
55,0.7323859820286667,0.0,3467
56,0.6485664983147477,0.0,7063
57,0.930359800275912,0.0,1021
58,0.9782797739836556,0.0,1509
59,0.7856752881750589,0.0,1669
60,0.7156879155356144,0.0,8908
61,0.7989476734534564,0.0,1230
62,0.6757834085224631,0.0,3694
63,0.8298196069147559,0.0,1793
64,0.7455250123253938,0.0,247
65,0.7530550467756496,0.0,1543
66,0.6959290494073012,0.0,2123
67,0.6639596053251591,0.0,3241
68,0.6774612262657881,0.0,3422
69,0.6506331963786137,0.0,5012
70,0.5289034487200359,0.0,280
71,0.5610686212581171,0.0,1101
72,0.6532986622279233,0.0,2731
73,0.7019991105344339,0.0,2475
74,0.6000771006809675,0.0,5891
75,0.6722493681252317,4.0,1492
76,0.6341777599466489,0.0,7299
77,0.6748900434999823,0.0,1279
78,0.6722635974799146,0.0,3352
79,0.6586711829216892,0.0,1451
80,0.6117481451638035,0.0,886
81,0.7278023292072543,0.0,1526
82,0.6763548390343529,0.0,3978
83,0.7194775589136289,0.0,3079
84,0.6313919979652256,0.0,2760
85,0.6925421361868318,0.0,3298
86,0.6626751681934355,0.0,2835
87,0.6315024939213966,0.0,3195
88,0.6731688119589225,0.0,5105
89,0.6683689494196136,0.0,3176
90,0.6673823581333921,4.0,2335
91,0.7025783558490372,4.0,3403
92,0.5758262747889863,0.0,635
93,0.6847762046289614,0.0,2604
94,0.6351443169264899,0.0,3006
95,0.7086706756200167,0.0,1968
96,0.6428829005692963,0.0,6852
97,0.6510695512089579,0.0,3134
98,0.6264113552122009,0.0,3773
99,0.5596323029849871,0.0,1130
100,0.6261949627236277,0.0,8991
101,0.6595518305008649,0.0,2676
102,0.6300667468944169,0.0,2912
103,0.6766820091887604,4.0,7363
104,0.6686406456691336,0.0,5169
105,0.643909137677596,0.0,6044
106,0.6138242271639123,0.0,3711
107,0.7135006962912915,0.0,2534
108,0.6820764507755321,0.0,3276
109,0.5252473710826631,0.0,19974
110,0.620773661524623,0.0,2683
111,0.6834443778121021,0.0,3038
112,0.6629844354165925,0.0,1096
113,0.6439255897642555,0.0,2910
114,0.5566188506955219,0.0,905
115,0.647878729158559,0.0,3425
116,0.6969315851383268,0.0,2909
117,0.8268342300482461,0.0,2490
118,0.6606080752875675,0.0,5476
119,0.7011344546672658,0.0,4119
120,0.6451336139591833,0.0,3036
121,0.6770918810593757,0.0,2572
122,0.6615441957538005,0.0,800
123,0.5880239704249431,0.0,11536
124,0.5277349429343055,0.0,2087
125,0.682706311237491,0.0,4508
126,0.5627513453678546,0.0,290
127,0.6852749005389075,0.0,3788
128,0.6320387827140448,0.0,8944
129,0.6269728658932722,0.0,2063
130,0.6955323225099521,0.0,3072
131,0.6783213173093617,0.0,6806
132,0.6795610327588658,0.0,4145
133,0.7094689939525913,0.0,4181
134,0.7153611581976499,0.0,2939
135,0.6608100283349352,4.0,6290
136,0.5579142135538445,4.0,8464
137,0.561297730610562,0.0,12073
138,0.6554725462345461,0.0,3197
139,0.6985135373373498,0.0,744
140,0.6486847477413717,4.0,2724
141,0.680984802881891,0.0,609
142,0.6218421782241538,0.0,10041
143,0.601043786066694,0.0,1789
144,0.684844173392999,0.0,4825
145,0.6975657431470123,0.0,3759
146,0.7012650343530283,0.0,984
147,0.6767407494033628,0.0,2688
148,0.6791176392888978,4.0,3483
149,0.6970587867825053,0.0,5720
150,0.6109011949817884,0.0,4315
151,0.6332944120294571,0.0,761
152,0.6327871821712379,0.0,5012
153,0.6479923178520552,0.0,11217
154,0.7470375301061245,0.0,2520
155,0.5648004808627515,0.0,8614
156,0.4518007943749182,0.0,71282
157,0.6627054313006465,4.0,5185
158,0.6708447691583459,0.0,3818
159,0.6284980026914606,0.0,3884
160,0.7004514613723969,4.0,4789
161,0.6121370758693044,0.0,3246
162,0.6851501524571731,0.0,3203
163,0.637943635980647,0.0,4117
164,0.7473661997547895,0.0,3477
165,0.6825807145222467,0.0,1625
166,0.6117022075291136,0.0,3742
167,0.6536764934544969,0.0,5197
168,0.6385037428294338,4.0,7209
169,0.5607946700681574,0.0,11152
170,0.5672155327650789,0.0,7654
171,0.7526928687882041,0.0,3533
172,0.6530084432662191,0.0,7143
173,0.6590567467139193,4.0,2415
174,0.6691326858861504,0.0,3553
175,0.6481980307130532,4.0,1836
176,0.6736464647169509,0.0,4358
177,0.6534940068571208,0.0,2553
178,0.6739025557189944,0.0,8514
179,0.6217805381355294,0.0,963
180,0.5632834931118293,0.0,18657
181,0.5588931302260958,0.0,19855
182,0.6580728841792373,4.0,3504
183,0.6492515825523002,4.0,6591
184,0.5763059075308637,4.0,9812
185,0.6597849022049,0.0,155
186,0.7027318379949503,0.0,1806
187,0.6209749134880355,4.0,4957
188,0.64310049191878,0.0,2135
189,0.5941529126993631,0.0,5920
190,0.6833386830965902,0.0,4798
191,0.7261693866661242,0.0,3750
192,0.679833146577787,0.0,2749
193,0.7222980567596314,4.0,4635
194,0.6536314179214908,0.0,2613
195,0.6482668631183715,0.0,2858
196,0.594343754865856,0.0,2667
197,0.6678365091397366,0.0,2399
198,0.6918696459021891,0.0,3501
199,0.6516237239505986,0.0,6142
200,0.6703562652204521,5.0,2465
201,0.6024022491747878,0.0,3029
202,0.7247385484024998,0.0,1779
203,0.6537154763413068,0.0,5315
204,0.716956860166447,0.0,2180
205,0.64978355694175,4.0,2881
206,0.6501937129811274,4.0,1091
207,0.7343479781523105,0.0,2582
208,0.6771838075168625,0.0,3407
209,0.7362006966090524,0.0,2152
210,0.7416654427642285,0.0,6107
211,0.6457719131577786,0.0,2816
212,0.6275832255771451,0.0,7158
213,0.6887051686694277,0.0,3879
214,0.6736917992930691,0.0,477
215,0.6532806837866516,5.0,6441
216,0.6397169204800962,0.0,357
217,0.6615580060907621,0.0,3027
218,0.5843876108409342,0.0,4609
219,0.6405412622431919,0.0,10938
220,0.7236225400021331,0.0,3425
221,0.5985048279470268,0.0,9150
222,0.6146726053056307,0.0,2744
223,0.6194905512476314,0.0,2449
224,0.6458710318297433,0.0,1711
225,0.5732681396261289,5.0,237
226,0.6073011374766372,0.0,12274
227,0.5974355798789616,0.0,2307
228,0.6063212607434941,0.0,7389
229,0.7184680581651555,0.0,2019
230,0.6541752329844074,0.0,2164
231,0.7006647855165048,0.0,3699
232,0.6786224931738088,4.0,4094
233,0.6884077383415212,0.0,1513
234,0.5448859191075428,4.0,1048
235,0.7584712310824492,4.0,5312
236,0.6753993146957977,0.0,3832
237,0.7537870581476949,0.0,2296
238,0.7392082532163854,4.0,2728
239,0.6391477889703311,5.0,7581
240,0.5944602532458227,0.0,9613
241,0.6578473157179413,0.0,2256
242,0.6641927207184786,5.0,3492
243,0.6930638209822199,0.0,4623
244,0.6193292596488538,0.0,187
245,0.7150974730513908,4.0,3901
246,0.6309814361660318,0.0,6236
247,0.6147553415572831,0.0,2648
248,0.6102669428552845,0.0,5010
249,0.7014684038345645,0.0,792
250,0.6943254441052688,0.0,3487
251,0.6387996949043431,0.0,4577
252,0.6925429443863531,0.0,1162
253,0.717219272834303,0.0,1978
254,0.6343116328753594,0.0,4753
255,0.6771844058031419,0.0,3923
256,0.6987954269318749,0.0,2680
257,0.6229899365262925,0.0,1625
258,0.5828233385284368,0.0,7532
259,0.5919130146336421,0.0,20007
260,0.5025710260577844,0.0,527
